timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709901507057,1960,HomePage,200,OK,Thread Group 1-7,text,true,,189019,117,20,20,https://lifecharger.eu/,750,0,579
1709901506959,2241,HomePage,200,OK,Thread Group 1-5,text,true,,189019,117,20,20,https://lifecharger.eu/,895,0,677
1709901507103,2111,HomePage,200,OK,Thread Group 1-8,text,true,,189019,117,20,20,https://lifecharger.eu/,765,0,533
1709901507502,1747,HomePage,200,OK,Thread Group 1-16,text,true,,189019,117,20,20,https://lifecharger.eu/,618,0,403
1709901506834,2460,HomePage,200,OK,Thread Group 1-2,text,true,,189019,117,20,20,https://lifecharger.eu/,1041,0,804
1709901507603,1732,HomePage,200,OK,Thread Group 1-18,text,true,,189019,117,20,20,https://lifecharger.eu/,574,0,331
1709901507452,1938,HomePage,200,OK,Thread Group 1-15,text,true,,189019,117,20,20,https://lifecharger.eu/,643,0,419
1709901509249,310,ContactPage,200,OK,Thread Group 1-16,text,true,,76862,125,20,20,https://lifecharger.eu/contact/,259,0,0
1709901509020,547,ContactPage,200,OK,Thread Group 1-7,text,true,,76862,125,20,20,https://lifecharger.eu/contact/,237,0,0
1709901507007,2718,HomePage,200,OK,Thread Group 1-6,text,true,,189019,117,20,20,https://lifecharger.eu/,852,0,629
1709901509201,613,ContactPage,200,OK,Thread Group 1-5,text,true,,76862,125,20,20,https://lifecharger.eu/contact/,220,0,0
1709901509214,601,ContactPage,200,OK,Thread Group 1-8,text,true,,76862,125,20,20,https://lifecharger.eu/contact/,229,0,0
1709901509295,682,ContactPage,200,OK,Thread Group 1-2,text,true,,76862,125,20,20,https://lifecharger.eu/contact/,275,0,0
1709901509336,672,ContactPage,200,OK,Thread Group 1-18,text,true,,76862,125,20,20,https://lifecharger.eu/contact/,311,0,0
1709901507202,2824,HomePage,200,OK,Thread Group 1-10,text,true,,189019,117,20,20,https://lifecharger.eu/,684,0,434
1709901509390,722,ContactPage,200,OK,Thread Group 1-15,text,true,,76862,125,20,20,https://lifecharger.eu/contact/,359,0,0
1709901509559,666,AboutPage,200,OK,Thread Group 1-16,text,true,,140237,123,20,20,https://lifecharger.eu/about/,332,0,0
1709901507405,2913,HomePage,200,OK,Thread Group 1-14,text,true,,189019,117,19,19,https://lifecharger.eu/,757,0,501
1709901509726,665,ContactPage,200,OK,Thread Group 1-6,text,true,,76862,125,19,19,https://lifecharger.eu/contact/,310,0,0
1709901509815,1007,AboutPage,200,OK,Thread Group 1-8,text,true,,140237,123,19,19,https://lifecharger.eu/about/,349,0,0
1709901509567,1275,AboutPage,200,OK,Thread Group 1-7,text,true,,140237,123,18,18,https://lifecharger.eu/about/,290,0,0
1709901509977,909,AboutPage,200,OK,Thread Group 1-2,text,true,,140237,123,17,17,https://lifecharger.eu/about/,281,0,0
1709901510014,898,AboutPage,200,OK,Thread Group 1-18,text,true,,140237,123,16,16,https://lifecharger.eu/about/,311,0,0
1709901506834,4094,HomePage,200,OK,Thread Group 1-1,text,true,,189019,117,15,15,https://lifecharger.eu/,1049,0,803
1709901510027,907,ContactPage,200,OK,Thread Group 1-10,text,true,,76862,125,15,15,https://lifecharger.eu/contact/,333,0,0
1709901509814,1235,AboutPage,200,OK,Thread Group 1-5,text,true,,140237,123,15,15,https://lifecharger.eu/about/,327,0,0
1709901507153,3956,HomePage,200,OK,Thread Group 1-9,text,true,,189019,117,14,14,https://lifecharger.eu/,678,0,483
1709901510112,1008,AboutPage,200,OK,Thread Group 1-15,text,true,,140237,123,14,14,https://lifecharger.eu/about/,373,0,0
1709901510319,875,ContactPage,200,OK,Thread Group 1-14,text,true,,76862,125,13,13,https://lifecharger.eu/contact/,335,0,0
1709901510392,1095,AboutPage,200,OK,Thread Group 1-6,text,true,,140237,123,13,13,https://lifecharger.eu/about/,325,0,0
1709901507252,4251,HomePage,200,OK,Thread Group 1-11,text,true,,189019,117,12,12,https://lifecharger.eu/,556,0,384
1709901506910,4607,HomePage,200,OK,Thread Group 1-4,text,true,,189019,117,12,12,https://lifecharger.eu/,907,0,726
1709901511110,484,ContactPage,200,OK,Thread Group 1-9,text,true,,76862,125,12,12,https://lifecharger.eu/contact/,248,0,0
1709901506863,4950,HomePage,200,OK,Thread Group 1-3,text,true,,189019,117,12,12,https://lifecharger.eu/,976,0,773
1709901507353,4470,HomePage,200,OK,Thread Group 1-13,text,true,,189019,117,12,12,https://lifecharger.eu/,556,0,329
1709901510934,938,AboutPage,200,OK,Thread Group 1-10,text,true,,140237,123,12,12,https://lifecharger.eu/about/,223,0,0
1709901510928,946,ContactPage,200,OK,Thread Group 1-1,text,true,,76862,125,12,12,https://lifecharger.eu/contact/,251,0,0
1709901511517,410,ContactPage,200,OK,Thread Group 1-4,text,true,,76862,125,11,11,https://lifecharger.eu/contact/,238,0,0
1709901507302,4875,HomePage,200,OK,Thread Group 1-12,text,true,,189019,117,11,11,https://lifecharger.eu/,616,0,433
1709901507551,4636,HomePage,200,OK,Thread Group 1-17,text,true,,189019,117,11,11,https://lifecharger.eu/,1853,0,580
1709901511594,608,AboutPage,200,OK,Thread Group 1-9,text,true,,140237,123,11,11,https://lifecharger.eu/about/,232,0,0
1709901511813,425,ContactPage,200,OK,Thread Group 1-3,text,true,,76862,125,10,10,https://lifecharger.eu/contact/,227,0,0
1709901511823,453,ContactPage,200,OK,Thread Group 1-13,text,true,,76862,125,10,10,https://lifecharger.eu/contact/,246,0,0
1709901511195,1113,AboutPage,200,OK,Thread Group 1-14,text,true,,140237,123,10,10,https://lifecharger.eu/about/,268,0,0
1709901511503,871,ContactPage,200,OK,Thread Group 1-11,text,true,,76862,125,9,9,https://lifecharger.eu/contact/,277,0,0
1709901511929,569,AboutPage,200,OK,Thread Group 1-4,text,true,,140237,123,9,9,https://lifecharger.eu/about/,205,0,0
1709901512179,552,ContactPage,200,OK,Thread Group 1-12,text,true,,76862,125,8,8,https://lifecharger.eu/contact/,211,0,0
1709901512239,512,AboutPage,200,OK,Thread Group 1-3,text,true,,140237,123,8,8,https://lifecharger.eu/about/,175,0,0
1709901511877,967,AboutPage,200,OK,Thread Group 1-1,text,true,,140237,123,7,7,https://lifecharger.eu/about/,229,0,0
1709901512188,696,ContactPage,200,OK,Thread Group 1-17,text,true,,76862,125,6,6,https://lifecharger.eu/contact/,192,0,0
1709901512277,743,AboutPage,200,OK,Thread Group 1-13,text,true,,140237,123,6,6,https://lifecharger.eu/about/,178,0,0
1709901507652,5609,HomePage,200,OK,Thread Group 1-19,text,true,,189019,117,5,5,https://lifecharger.eu/,2753,0,481
1709901512375,939,AboutPage,200,OK,Thread Group 1-11,text,true,,140237,123,5,5,https://lifecharger.eu/about/,161,0,0
1709901507702,5754,HomePage,200,OK,Thread Group 1-20,text,true,,189019,117,4,4,https://lifecharger.eu/,2365,0,587
1709901512732,829,AboutPage,200,OK,Thread Group 1-12,text,true,,140237,123,4,4,https://lifecharger.eu/about/,167,0,0
1709901512885,1131,AboutPage,200,OK,Thread Group 1-17,text,true,,140237,123,3,3,https://lifecharger.eu/about/,164,0,0
1709901513262,810,ContactPage,200,OK,Thread Group 1-19,text,true,,76862,125,2,2,https://lifecharger.eu/contact/,172,0,0
1709901513457,1007,ContactPage,200,OK,Thread Group 1-20,text,true,,76862,125,2,2,https://lifecharger.eu/contact/,170,0,0
1709901514072,1148,AboutPage,200,OK,Thread Group 1-19,text,true,,140237,123,2,2,https://lifecharger.eu/about/,165,0,0
1709901514465,1506,AboutPage,200,OK,Thread Group 1-20,text,true,,140237,123,1,1,https://lifecharger.eu/about/,163,0,0
